ID,group,Abies firma,Distylium racemosum,Castanopsis sieboldii,Pinus densiflora,Pinus thunbergii,Machilus thunbergii,Quercus salicina,Tsuga sieboldii,Quercus acuta,Machilus japonica,Fagus crenata,Cleyera japonica,Camellia japonica,Illicium anisatum,Quercus gilva,Carpinus tschonoskii,Cryptomeria japonica,Chamaecyparis obtusa,Quercus glauca,Quercus crispula var. crispula,Cerasus jamasakura,Quercus serrata,Lithocarpus edulis,Cinnamomum yabunikkei,Cinnamomum camphora,Betula grossa,Toxicodendron sylvestre,Zelkova serrata,Cornus controversa var. controversa
K110,past,0.0,0.0,0.0,4.618141200776996,0.19634954084936207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K111,past,0.0,0.0,0.007853981633974483,0.15904312808798327,0.0,0.017671458676442587,0.12566370614359174,0.0,0.16689710972195776,0.0,0.0,0.0,0.0,0.0,0.0,0.2572178985126643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K112,past,0.0,0.0,0.0,0.0,0.0,0.0,0.08835729338221293,0.0,0.1040652566501619,0.6185010536754906,0.0,0.007853981633974483,1.2959069696057897,0.0,0.0,0.6165375582669969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K113,past,0.0,0.0,0.0,0.0,0.0,0.007853981633974483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3259402378099411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K114,past,0.0,0.0,0.0,0.0,0.0,0.10602875205865553,0.007853981633974483,0.0,0.9169523557665209,0.0,0.0,0.0,0.2611448893296516,0.3357577148524092,0.0,0.035342917352885174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K115,past,0.0,0.0,0.007853981633974483,0.08050331174823845,0.0,0.0,0.2748893571891069,0.8011061266653973,0.0,0.0,0.0,0.12762720155208535,0.0,0.007853981633974483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K116,past,0.0,0.0,0.0,5.036365722786137,0.09621127501618741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K117,past,0.0,0.0,0.0,0.0,0.0,0.04908738521234052,0.015707963267948967,0.0,0.02356194490192345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K118,past,0.0,0.0,0.0,0.0,0.0,0.0,0.007853981633974483,2.5348725723652645,2.201078352921349,0.0,0.1688606051304514,0.15315264186250244,0.23169245820224726,1.0367255756846319,0.0,0.056941366846315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K119,past,3.4753868730337087,0.0,0.0,0.0,0.0,0.0,0.056941366846315004,2.134319509032566,0.56941366846315,0.0,0.12762720155208535,0.007853981633974483,0.20420352248333656,0.9915651812892785,0.0,0.9621127501618741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K120,past,2.7763825076099797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3292863915501814,0.0,0.19634954084936207,0.0,0.22187498115977916,2.055779692692821,0.0,0.17671458676442586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
